s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,89656.4775792,43128.9626403,-1.8592944,-0.0634016, 9.8081139, -5.1910739
0.9630710,89656.1755163,43128.0481657,-1.9293572,-0.0825353, 9.2642786, -1.1713363
1.9209914,89655.8039809,43127.1652315,-2.0169088,-0.1005301, 9.1370904, -0.3877113
2.8721097,89655.3527870,43126.3279441,-2.1187774,-0.1136123, 9.0945994, -0.3877113
3.8177581,89654.8172656,43125.5485419,-2.2292170,-0.1197137, 9.0519090, 0.7791217
4.7601766,89654.1993824,43124.8369431,-2.3421140,-0.1197726, 9.1374949, 0.5228389
5.7001827,89653.5071479,43124.2010006,-2.4533925,-0.1172000, 9.1944816, 2.0276300
6.6360287,89652.7526800,43123.6472985,-2.5622776,-0.1159388, 9.4122198, 3.9057897
7.5641189,89651.9496113,43123.1820759,-2.6708255,-0.1183941, 9.8180449, 4.8481531
8.4813536,89651.1105408,43122.8115624,-2.7818634,-0.1237335, 10.2995660, 4.8027450
9.3881041,89650.2450921,43122.5410169,-2.8959327,-0.1271087, 10.7553420, 4.7577623
10.2900530,89649.3590408,43122.3724194,-3.0088003,-0.1218143, 11.1885578, -3.7026709
11.1969965,89648.4548448,43122.3018784,-3.1120740,-0.1049118, 10.8529052, -1.8281422
12.1185028,89647.5334888,43122.3185159,3.0855720,-0.0807153, 10.6832933, -1.7710401
13.0592131,89646.5968620,43122.4060728,3.0209703,-0.0572351, 10.5163708, -1.8122499
14.0170875,89645.6493946,43122.5468884,2.9744885,-0.0404055, 10.3427760, -0.4967831
14.9853223,89644.6979419,43122.7263771,2.9396057,-0.0319952, 10.2946781, -0.4967831
15.9561661,89643.7499662,43122.9358524,2.9092493,-0.0307165, 10.2463544, -0.2127418
16.9241736,89642.8113976,43123.1727647,2.8777761,-0.0344114, 10.2255905, 1.1258149
17.8868035,89641.8863825,43123.4392294,2.8415856,-0.0409113, 10.3349979, 2.4303287
18.8418064,89640.9797694,43123.7393678,2.8022628,-0.0416322, 10.5673176, 3.9820148
19.7849036,89640.0968653,43124.0708987,2.7727905,-0.0206959, 10.9373045, 4.7392595
20.7119342,89639.2354709,43124.4135144,2.7626294,-0.0008854, 11.3619586, 4.6948714
21.6198526,89638.3921085,43124.7497518,2.7517356,-0.0236319, 11.7675352, 4.6508990
22.5070726,89637.5751270,43125.0957295,2.7093114,-0.0718913, 12.1559782, 4.6073384
23.3888576,89636.7866418,43125.4904901,2.6500372,-0.0581088, 12.5289141, 4.5641858
24.3313031,89635.9674498,43125.9564601,2.6440975,0.0351284, 12.8877208, 4.5214374
25.4517407,89634.9741152,43126.4747909,2.6907707,0.0444374, 13.2335782, 4.4790894
26.8073318,89633.7396384,43127.0348750,2.7083161,-0.0098350, 13.5675061, 4.4371380
28.3017163,89632.3875551,43127.6713148,2.6553277,-0.0623533, 13.8903934, 4.3955796
29.7875200,89631.1077428,43128.4260949,2.5340320,-0.1059247, 14.2030207, 4.3544103
31.1981385,89630.0164550,43129.3199268,2.3744697,-0.1188349, 14.5060783, 4.0388825
32.5591868,89629.1191492,43130.3433011,2.2214812,-0.1078658, 14.7816225, 2.6500026
33.8417706,89628.4191876,43131.4180452,2.1163132,-0.0563728, 14.9596561, -1.0392877
34.9685525,89627.8697433,43132.4017873,2.1113080,0.0641254, 14.8900879, -1.0392877
35.9400247,89627.3400863,43133.2161716,2.1966083,0.1097431, 14.8201932, -0.5278977
36.8361812,89626.7772029,43133.9134940,2.2181382,-0.0745537, 14.7845642, 1.2132361
37.6886773,89626.2860893,43134.6103133,2.1017657,-0.1866925, 14.8663208, 3.5565045
38.5774399,89625.8983916,43135.4100567,1.9870022,-0.0698430, 15.1034339, 4.2307170
39.5851033,89625.5197959,43136.3438932,1.9399641,-0.0294477, 15.3807371, 4.1910918
40.6719052,89625.1427157,43137.3631817,1.8963613,-0.0546132, 15.6505993, 4.1518378
41.7253610,89624.8355392,43138.3708581,1.8227146,-0.0993679, 15.9134223, 4.1129515
42.6104123,89624.6600751,43139.2383420,1.7388453,-0.0921741, 16.1695721, 4.0744294
43.2945148,89624.5732527,43139.9169125,1.6839332,-0.0485374, 16.4193832, 4.0362681
43.8763682,89624.5171710,43140.4960569,1.6529013,-0.0494799, 16.6631623, 3.9984642
44.4596125,89624.4777097,43141.0779648,1.6446244,0.0188996, 16.9011915, 3.9610143
45.1070420,89624.4263968,43141.7233576,1.6942834,0.1149900, 17.1337311, 3.9239153
45.8748570,89624.3035323,43142.4812786,1.7537265,0.0498396, 17.3610219, 3.8871637
46.7665492,89624.1245773,43143.3548288,1.7767564,0.0081995, 17.5832872, 3.8507563
47.7169285,89623.9268185,43144.2844052,1.8219446,0.0876945, 17.8007346, 3.8146899
48.6641387,89623.6534033,43145.1912963,1.9395986,0.1661053, 18.0135574, 3.7789613
49.5790414,89623.2575350,43146.0161207,2.0750967,0.1261872, 18.2219362, 3.7435674
50.4797292,89622.7775575,43146.7782625,2.1432857,0.0230266, 18.4260400, -12.0496172
51.3885976,89622.2773043,43147.5370697,2.1447455,-0.0189777, 17.7607070, -11.9050608
52.3276001,89621.7742897,43148.3299770,2.1278341,-0.0166892, 17.0779190, -10.9617331
53.3207313,89621.2558683,43149.1770596,2.1273260,0.0138388, 16.4241521, -10.9608532
54.3797074,89620.6903062,43150.0723639,2.1540938,0.0356561, 15.7433157, -11.0731913
55.4956956,89620.0581682,43150.9920548,2.1949346,0.0383448, 15.0242052, -11.3501059
56.6411588,89619.3690284,43151.9070260,2.2299948,0.0240875, 14.2494980, -10.3102948
57.7756874,89618.6618426,43152.7941807,2.2418662,-0.0035566, 13.5073048, -9.1629093
58.8577379,89617.9907085,43153.6429517,2.2204407,-0.0386327, 12.8116726, -8.2971093
59.8624829,89617.3997892,43154.4555566,2.1682334,-0.0671768, 12.1474513, -7.5860738
60.7945439,89616.9017816,43155.2434184,2.1038240,-0.0690304, 11.5066461, -6.9636016
61.6828893,89616.4752181,43156.0226495,2.0532935,-0.0417432, 10.8852650, -6.4154791
62.5625540,89616.0815775,43156.8093242,2.0295524,-0.0115919, 10.2796051, -5.4737947
63.4597142,89615.6883916,43157.6157367,2.0252625,0.0016985, 9.7330950, -4.5187266
64.4118012,89615.2697901,43158.4708640,2.0331899,0.0120650, 9.2576623, -3.9002874
65.5996011,89614.7338257,43159.5308690,2.0367126,-0.0029618, 8.8267310, -3.7078705
67.0991558,89614.0625209,43160.8717695,2.0085425,-0.0328879, 8.3965777, -4.5420110
68.7052755,89613.4177614,43162.3427916,1.9064917,-0.0994908, 7.8375483, -3.2705711
70.2610957,89613.0241151,43163.8479889,1.7219473,-0.1396751, 7.4089314, -0.2549199
71.7596076,89612.9604644,43165.3451483,1.5066337,-0.1558751, 7.3744770, -0.2549199
73.1282985,89613.2068121,43166.6914869,1.2337348,-0.2738478, 7.3398609, 0.0962443
74.2693800,89613.7783636,43167.6791083,0.8084319,-0.4560163, 7.3529493, -1.7106526
75.3131033,89614.6692411,43168.2228873,0.3257163,-0.3943380, 7.1167284, -0.2352087
76.4399420,89615.7879690,43168.3578437,-0.0414373,-0.2752503, 7.0836329, -0.2352087
77.6131579,89616.9386093,43168.1287970,-0.3602491,-0.2627661, 7.0503820, 3.8747872
78.8592601,89618.0234823,43167.5157544,-0.6431811,-0.1945508, 7.5795821, 4.2681960
80.1834610,89618.9793092,43166.5992922,-0.8407281,-0.1276574, 8.1227034, 0.0643603
81.3797963,89619.6990578,43165.6436876,-1.0103262,-0.1743794, 8.1306154, 0.6607222
82.3557815,89620.1289600,43164.7674848,-1.1743621,-0.1351098, 8.2114000, 4.7596003
83.2395567,89620.4157571,43163.9315387,-1.1960495,0.0995844, 8.7713857, 4.9393568
84.1282336,89620.7771113,43163.1196459,-1.0621878,0.1958026, 9.3170002, 4.7498031
85.0460245,89621.2920027,43162.3598914,-0.9252572,0.1018006, 9.8131051, 2.1921135
86.0269703,89621.9181146,43161.6047500,-0.8885189,-0.0190676, 10.0337967, 2.0782995
87.0733857,89622.5703205,43160.7864513,-0.9142683,-0.0303512, 10.2386380, 2.6569595
88.1538884,89623.2161532,43159.9202030,-0.9444804,-0.0266045, 10.4946918, 3.7323425
89.2313076,89623.8350862,43159.0382993,-0.9709599,-0.0231842, 10.8441743, 4.6302586
90.2756702,89624.4138244,43158.1689574,-0.9935891,-0.0203604, 11.2626727, 4.7054010
91.2716949,89624.9484364,43157.3285675,-1.0125977,-0.0176527, 11.6726011, 4.6613299
