x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89639.5025323,43122.3307576,0.0,0.0,0.0,0.5584395372310499,0.8295452267701688,9.72
89638.6146491,43122.7345198,0.0,0.0,0.0,0.5236247320875165,0.8519490242651121,9.72
89637.7426566,43123.2252056,0.0,0.0,0.0,0.4861358310831395,0.8738832609319767,9.72
89636.9179657,43123.7821611,0.0,0.0,0.0,0.45336900318536605,0.8913229195699545,9.72
89636.1346136,43124.388464,0.0,0.0,0.0,0.42902159868630124,0.9032942310568857,9.72
89635.3844806,43125.0260262,0.0,0.0,0.0,0.4105650383408458,0.9118313162488881,9.72
89634.6501075,43125.7028467,0.0,0.0,0.0,0.392376385991386,0.9198047465176177,9.72
89633.9324812,43126.4182522,0.0,0.0,0.0,0.37451866184383076,0.9272193763779456,9.72
89633.2579965,43127.1412859,0.0,0.0,0.0,0.35916556969655117,0.9332738577419556,9.72
89632.5970342,43127.8936919,0.0,0.0,0.0,0.3465779735206653,0.9380211662165779,9.72
89631.9497993,43128.6672728,0.0,0.0,0.0,0.33653359939965355,0.9416714588831465,9.72
89631.324052,43129.4449132,0.0,0.0,0.0,0.32836516829881957,0.9445508542413626,9.72
89630.7097894,43130.2338455,0.0,0.0,0.0,0.3213878715757102,0.9469476416381398,9.72
89630.1060453,43131.031248,0.0,0.0,0.0,0.31557641629564354,0.9489001662335184,9.72
89629.5115096,43131.8352335,0.0,0.0,0.0,0.31052187678912685,0.9505662333763799,9.72
89628.9256556,43132.6446672,0.0,0.0,0.0,0.30585610872997404,0.9520777493212191,9.72
89628.3475931,43133.4593268,0.0,0.0,0.0,0.30158750699903675,0.9534385012270619,9.72
89627.7759471,43134.2793494,0.0,0.0,0.0,0.29800909362984135,0.9545630309801026,9.72
89627.2096492,43135.1029248,0.0,0.0,0.0,0.2954578225585816,0.9553557845582669,9.72
89626.647141,43135.9285086,0.0,0.0,0.0,0.2939351364320163,0.9558253687628782,9.72
89626.0857559,43136.7564552,0.0,0.0,0.0,0.2932120183034924,0.9560474425060675,9.72
89625.5256542,43137.5842791,0.0,0.0,0.0,0.2929837058161197,0.9561174342758599,9.72
89624.9661595,43138.4111353,0.0,0.0,0.0,0.29325030776839817,0.9560356985979863,9.72
89624.4045773,43139.2392543,0.0,0.0,0.0,0.29392118135030526,0.9558296601139981,9.72
89623.8421619,43140.0656163,0.0,0.0,0.0,0.2948513987711174,0.9555431191959448,9.72
89623.2788086,43140.8894231,0.0,0.0,0.0,0.2960404390635555,0.9551754071577939,9.72
89622.7120019,43141.7135813,0.0,0.0,0.0,0.2973023012823267,0.95478340038578,9.72
89622.1437075,43142.5357001,0.0,0.0,0.0,0.2983105774932878,0.9544688571952576,9.72
89621.5745415,43143.3558501,0.0,0.0,0.0,0.2990577396631441,0.9542350173555627,9.72
